date,name
29-07-2014,Eid-ul-Fitr
03-10-2014,Hajj
04-10-2014,Hajj
05-10-2014,Eid-ul-Adha
06-10-2014,Hajj
07-10-2014,Hajj
08-10-2014,Hajj
03-11-2014,Ashura
03-01-2015,Mawlid al-Nabi
16-05-2015,Lailat-ul-Miraj
03-06-2015,Lailat-ul-Bara'at
18-06-2015,1st Day of Ramadan
08-07-2015,Lailat-ul-Qadr
10-07-2015,Lailat-ul-Qadr
12-07-2015,Lailat-ul-Qadr
14-07-2015,Lailat-ul-Qadr
16-07-2015,Lailat-ul-Qadr
18-07-2015,Eid-ul-Fitr
22-09-2015,Hajj
23-09-2015,Hajj
24-09-2015,Eid-ul-Adha
25-09-2015,Hajj
26-09-2015,Hajj
27-09-2015,Hajj
24-10-2015,Ashura
24-12-2015,Mawlid al-Nabi
05-05-2016,Lailat-ul-Miraj
23-05-2016,Lailat-ul-Bara'at
07-06-2016,1st Day of Ramadan
27-06-2016,Lailat-ul-Qadr
29-06-2016,Lailat-ul-Qadr
01-07-2016,Lailat-ul-Qadr
03-07-2016,Lailat-ul-Qadr
05-07-2016,Lailat-ul-Qadr
07-07-2016,Eid-ul-Fitr
11-09-2016,Hajj
12-09-2016,Hajj
13-09-2016,Eid-ul-Adha
14-09-2016,Hajj
15-09-2016,Hajj
16-09-2016,Hajj
12-10-2016,Ashura
12-12-2016,Mawlid al-Nabi
24-04-2017,Lailat-ul-Miraj
12-05-2017,Lailat-ul-Bara'at
27-05-2017,1st Day of Ramadan
16-06-2017,Lailat-ul-Qadr
18-06-2017,Lailat-ul-Qadr
20-06-2017,Lailat-ul-Qadr
22-06-2017,Lailat-ul-Qadr
24-06-2017,Lailat-ul-Qadr
26-06-2017,Eid-ul-Fitr
31-08-2017,Hajj
01-09-2017,Hajj
02-09-2017,Eid-ul-Adha
03-09-2017,Hajj
04-09-2017,Hajj
05-09-2017,Hajj
01-10-2017,Ashura
01-12-2017,Mawlid al-Nabi
13-04-2018,Lailat-ul-Miraj
01-05-2018,Lailat-ul-Bara'at
16-05-2018,1st Day of Ramadan
05-06-2018,Lailat-ul-Qadr
07-06-2018,Lailat-ul-Qadr
09-06-2018,Lailat-ul-Qadr
11-06-2018,Lailat-ul-Qadr
13-06-2018,Lailat-ul-Qadr
15-06-2018,Eid-ul-Fitr
20-08-2018,Hajj
21-08-2018,Hajj
22-08-2018,Eid-ul-Adha
23-08-2018,Hajj
24-08-2018,Hajj
25-08-2018,Hajj
21-09-2018,Ashura
21-11-2018,Mawlid al-Nabi
03-04-2019,Lailat-ul-Miraj
21-04-2019,Lailat-ul-Bara'at
06-05-2019,1st Day of Ramadan
26-05-2019,Lailat-ul-Qadr
28-05-2019,Lailat-ul-Qadr
30-05-2019,Lailat-ul-Qadr
01-06-2019,Lailat-ul-Qadr
03-06-2019,Lailat-ul-Qadr
05-06-2019,Eid-ul-Fitr
10-08-2019,Hajj
11-08-2019,Hajj
12-08-2019,Eid-ul-Adha
13-08-2019,Hajj
14-08-2019,Hajj
15-08-2019,Hajj
10-09-2019,Ashura
10-11-2019,Mawlid al-Nabi
22-03-2020,Lailat-ul-Miraj
09-04-2020,Lailat-ul-Bara'at
24-04-2020,1st Day of Ramadan
14-05-2020,Lailat-ul-Qadr
16-05-2020,Lailat-ul-Qadr
18-05-2020,Lailat-ul-Qadr
20-05-2020,Lailat-ul-Qadr
22-05-2020,Lailat-ul-Qadr
24-05-2020,Eid-ul-Fitr
29-07-2020,Hajj
30-07-2020,Hajj
31-07-2020,Eid-ul-Adha
01-08-2020,Hajj
02-08-2020,Hajj
03-08-2020,Hajj
29-08-2020,Ashura
29-10-2020,Mawlid al-Nabi
11-03-2021,Lailat-ul-Miraj
29-03-2021,Lailat-ul-Bara'at
13-04-2021,1st Day of Ramadan
03-05-2021,Lailat-ul-Qadr
05-05-2021,Lailat-ul-Qadr
07-05-2021,Lailat-ul-Qadr
09-05-2021,Lailat-ul-Qadr
11-05-2021,Lailat-ul-Qadr
13-05-2021,Eid-ul-Fitr
18-07-2021,Hajj
19-07-2021,Hajj
20-07-2021,Eid-ul-Adha
21-07-2021,Hajj
22-07-2021,Hajj
23-07-2021,Hajj
19-08-2021,Ashura
19-10-2021,Mawlid al-Nabi
01-03-2022,Lailat-ul-Miraj
19-03-2022,Lailat-ul-Bara'at
03-04-2022,1st Day of Ramadan
23-04-2022,Lailat-ul-Qadr
25-04-2022,Lailat-ul-Qadr
27-04-2022,Lailat-ul-Qadr
29-04-2022,Lailat-ul-Qadr
01-05-2022,Lailat-ul-Qadr
03-05-2022,Eid-ul-Fitr
08-07-2022,Hajj
09-07-2022,Hajj
10-07-2022,Eid-ul-Adha
11-07-2022,Hajj
12-07-2022,Hajj
13-07-2022,Hajj
08-08-2022,Ashura
08-10-2022,Mawlid al-Nabi
18-02-2023,Lailat-ul-Miraj
08-03-2023,Lailat-ul-Bara'at
23-03-2023,1st Day of Ramadan
12-04-2023,Lailat-ul-Qadr
14-04-2023,Lailat-ul-Qadr
16-04-2023,Lailat-ul-Qadr
18-04-2023,Lailat-ul-Qadr
20-04-2023,Lailat-ul-Qadr
22-04-2023,Eid-ul-Fitr
27-06-2023,Hajj
28-06-2023,Hajj
29-06-2023,Eid-ul-Adha
30-06-2023,Hajj
01-07-2023,Hajj
02-07-2023,Hajj
28-07-2023,Ashura
27-09-2023,Mawlid al-Nabi
